[metrics]
41.144582
[points]
396, 626
445, 616
516, 614
690, 623
644, 638
400, 623
546, 660
469, 648
368, 650
507, 652
392, 652
428, 666
362, 658
413, 678
377, 660
625, 670
378, 666
384, 669
646, 671
598, 678
392, 676
328, 674
624, 673
402, 676
444, 678
580, 682
506, 682
440, 686
632, 690
508, 689
382, 692
610, 698
451, 700
562, 702
396, 704
432, 705
459, 709
600, 717
382, 716
450, 730
537, 727
486, 714
524, 714
410, 724
525, 720
469, 722
692, 736
408, 738
439, 727
630, 736
386, 738
442, 730
580, 744
552, 741
485, 742
508, 742
544, 744
546, 748
363, 750
513, 750
